population,population_definition,removed_source,remaining_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift,full_population_n11,n11_difference,full_population_jaccard,jaccard_difference,full_population_lift,lift_difference
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,cashout_laundering_service,Cash-out or laundering service,29,73,81,747,0.15847,2.403743,33,-4,0.158654,-0.000184,2.270455,0.133288
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,33,69,84,744,0.177419,2.571644,39,-6,0.186603,-0.009184,2.535368,0.036276
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,email_access_takeover,Email-access-enabled account takeover,27,75,34,794,0.198529,4.03568,30,-3,0.193548,0.004981,3.870093,0.165587
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",27,75,85,743,0.144385,2.198004,35,-8,0.159091,-0.014706,2.15647,0.041534
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,fullz_identity_package,Fullz or identity package,60,42,57,771,0.377358,4.675716,63,-3,0.33871,0.038648,4.063598,0.612118
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,jurisdiction_localisation,Jurisdiction-specific bank or account reference,50,52,53,775,0.322581,4.426042,64,-14,0.361582,-0.039001,4.403306,0.022736
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,mule_recruitment,Mule recruitment or account-holder solicitation,3,99,5,823,0.028037,3.419118,4,-1,0.031496,-0.003459,3.302479,0.116639
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,telegram_off_platform,Telegram or private-channel coordination reference,14,88,60,768,0.08642,1.72496,16,-2,0.083333,0.003087,1.518381,0.206579
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,tutorial_training_recruitment,"Tutorial, guide, or training content",33,69,57,771,0.207547,3.343137,41,-8,0.219251,-0.011704,3.16359,0.179547
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,102,1,827,0.0,0.0,0,0,0.0,0.0,0.0,0.0
